"last_name, first_name","pitch_hand","active_spin_fourseam","active_spin_sinker","active_spin_cutter","active_spin_changeup","active_spin_splitter","active_spin_curve","active_spin_slider","active_spin_sweeper","active_spin_slurve"
"Roberts, Ethan","R",,"60.2","45.6",,,,,"69.5",
"Funderburk, Kody","L",,"79.5","57.7","91.1",,,"56.6",,
"Uribe, Abner","R",,"69.9",,,,,"34.7",,
"Ashby, Aaron","L",,"83.9",,"77",,"88.1","45.9",,
"Bowman, Matt","R",,"89.6","60.3",,"81.9",,,"49.5",
"Peguero, Elvis","R",,"94.3",,,,,"25.6",,
"Koenig, Jared","L",,"81.5","48.5","92.7",,"80.5",,,
"Keuchel, Dallas","L",,"80.5","31","87.4",,,,,
"Chavez, Jesse","R",,"92.1","69.5","96.4",,"80.4","45.5",,
"Nittoli, Vinny","R",,,"56.6",,,"68.7",,"39.9",
"Emanuel, Kent","L",,"76.6",,"80.4",,,,"58.9",
"Burnes, Corbin","R",,"72.1","60.2","75.5",,"75","42","55",
"Grove, Michael","R",,"89.3","67.8",,,"78.2","30",,
"Ramirez, Nick","L",,"81.3",,"99.4",,,,"44.2",
"Crouse, Hans","R",,"96.2",,"97.1",,,"26.8",,
"Jansen, Kenley","R",,"97.8","80",,,,"45",,
"Valdez, Framber","L",,"79.5",,"79.4",,"78.6","27",,
"Hader, Josh","L",,"98.9",,"94.3",,,"15",,
"Rodríguez, Joely","L",,"89.9",,"97.1",,,,"57.6",
"Guenther, Sean","L",,"81.2",,,"98.6",,"59.6",,
"Houck, Tanner","R",,"77.5","14.4",,"83.6",,,"67.1",
"Bernardino, Brennan","L",,"78","26.1",,,"65.3","23.8",,
"Lawrence, Justin","R",,"79.4",,,,,,"51.3",
"Bird, Jake","R",,"85.7","52.6",,,"80.6","53.6",,
"Blach, Ty","L",,"99.2","19","99.6",,"53.4",,,
"Whitlock, Garrett","R",,"98.7","37.7","93.1",,,"41.4","62.8",
"Clase, Emmanuel","R",,"63.3","64.6",,,,"36.4",,
"Cobb, Alex","R",,"87.2",,,"75.6","70.5",,,
"Criswell, Cooper","R",,"82.5","45.7","86.1",,,"47.2","71.6",
"Ashcraft, Graham","R",,"55.4","56.7","72.3",,,"32.1",,
"Smyly, Drew","L",,"98.9","68.3",,,"38.3",,,
"de Geus, Brett","R",,"87.8","16.1",,,"72.5",,,
"Nance, Tommy","R",,"81.2",,,,"81.9","22.5",,
"Little, Brendon","L",,"77.9","41.3",,,"77.8",,,
"Pop, Zach","R",,"76.5","51.5",,,,"42",,
"Tate, Dillon","R",,"90.2",,"98.3",,,,"42.6",
"Pennington, Walter","L",,"74.3","55.8",,,,"10.5",,
"Robertson, David","R",,"86.5","74.7","86.9",,"64.3","52.6",,
"O'Brien, Riley","R",,"88.8",,,,"64.5","33.6",,
"Matz, Steven","L",,"99.4",,"82.6",,"82.8","32.6",,
"Walker, Ryan","R",,"72.9",,,,,"53.5",,
